wallet_address,transaction_hash,date_gmt7,direction,amount_usdt,amount_abs,from_address,to_address,timestamp
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,d4cc130f19160d667c6b56b3b49f1fd40450582e25c00909f5356d51dcfe5a2e,2025-07-30 15:58:48 GMT+7,OUT,-1006.29795,1006.29795,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,TRwvyKAePgNHartYX2HNEekXZHUmJo8H4r,1753865928000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,501aab7e0b82bb4a1e7417a07358eb039948accb248d5afb99e31843b16b638c,2025-07-30 15:55:15 GMT+7,OUT,-6008.911782,6008.911782,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,TYkGHqEDYC7aWngtfzHHr1KvqXSYf1VrKC,1753865715000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,f511ea37c33fe6481e30bb7cfd0e16a2c6955a63c5444e6fcade6d028c45944e,2025-07-30 13:08:54 GMT+7,IN,26605.74,26605.74,TUWd9coZtzMcWUSWRkuJWcar8DBtpRZQ6M,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,1753855734000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,9c41edf3c4b29074c82a5170789f796d1393b4bb477d51ba69268ed141929b37,2025-07-30 10:44:30 GMT+7,OUT,-6085.0,6085.0,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,TF2GVKwjVchpEWs1TonJW8yP6HAcvAvG93,1753847070000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,0525ab3536a68153293e69952e635c82bb935e33f5003f56fb54c0e26d0d9fb8,2025-07-30 10:43:09 GMT+7,OUT,-429.0,429.0,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,TF2GVKwjVchpEWs1TonJW8yP6HAcvAvG93,1753846989000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,6e46ad35fdd6d1e3bd96b20acea03170b2d3a2827914323e06f014519e1d7a99,2025-07-29 21:34:09 GMT+7,IN,28417.9,28417.9,TUWd9coZtzMcWUSWRkuJWcar8DBtpRZQ6M,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,1753799649000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,f427a6a1444b1db87bbf41cfbb5393b9a0a6284c5f6af48e083d8fe439a6b22f,2025-07-29 21:13:45 GMT+7,IN,17273.0,17273.0,TMz9v13E52izBe6QHvDTSFA4JABqsP4WQu,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,1753798425000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,6151dc909ace4432f9f7b753e56d00bd76b3bade12745eb111a66537d83890de,2025-07-29 18:53:24 GMT+7,OUT,-10121.45,10121.45,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,TRTbjmYwjmb11QPKrMD2WpxMNA4GWaKHK1,1753790004000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,3c4d26f32c96ea5caf7dc768cb3c5b0c9dcb31458eca0617f310530805692023,2025-07-29 12:57:15 GMT+7,OUT,-4142.0,4142.0,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,TTNHUUbuQrS22VrJ16ckMsrdEd88888888,1753768635000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,259652117a55a0cb5383565779e80f8c8891d7c9340d77cfab017e5b6e79f460,2025-07-29 12:56:09 GMT+7,OUT,-747.0,747.0,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,TNog7RSEEsQgnzUbJyf8oRn1jV6hRc6nxJ,1753768569000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,b5fda32f69f3fa91b84dc7c94823d862799733b81d80a4644ea41053b4d196f1,2025-07-29 12:54:48 GMT+7,OUT,-1328.0,1328.0,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,TKXbdrLF74fu8ps6d9pZ5XuxPxmDUv2f2F,1753768488000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,022476ccb13db5ddc04692ef9c047e5b8b503618e920c21746af139688c93ed4,2025-07-29 12:16:36 GMT+7,IN,23570.27,23570.27,TUWd9coZtzMcWUSWRkuJWcar8DBtpRZQ6M,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,1753766196000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,915f846f6ed8a88ed68926060f088bcd0cc8b4c9a90856a52a1bdf8cd6eced24,2025-07-29 11:24:09 GMT+7,OUT,-6368.0,6368.0,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,TF2GVKwjVchpEWs1TonJW8yP6HAcvAvG93,1753763049000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,318d123c2936d6d35543cb479ddb01f9746ab61f71345a909e04f81bfde45544,2025-07-29 11:22:54 GMT+7,OUT,-369.0,369.0,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,TF2GVKwjVchpEWs1TonJW8yP6HAcvAvG93,1753762974000
TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,e1af83fb4c0864ffc0337a728d89ebe668eeb7f65a7ef16a694af41821e72741,2025-07-29 10:18:42 GMT+7,OUT,-330.0,330.0,TRaa8yHXzJ5FoVqJNxzBFtbUNKaVwXx5E1,TQhspoXYEpF3iLXDK11HeCXutgzmZKxuYV,1753759122000
